channel_width,forward,backward,count,total_spawned,propensity
8,3.0,1.0,1,4.0,1.1489350312999999e-07
8,5.0,3.0,1,8.0,1.1489350312999999e-07
8,4.0,2.0,1,6.0,1.1489350312999999e-07
8,4.0,0.0,1,4.0,1.1489350312999999e-07
8,2.5,2.5,1,5.0,1.1489350312999999e-07
8,7.0,5.0,1,12.0,1.1489350312999999e-07
9,1.0,1.0,566,2.0,6.510693491431384e-05
9,0.0,1.0,231,1.0,2.657191159930476e-05
9,1.0,2.0,112,3.0,1.2883351078450793e-05
9,2.0,2.0,107,4.0,1.230820147673424e-05
9,2.0,3.0,49,5.0,5.636466096822222e-06
9,3.0,3.0,37,6.0,4.256107052702494e-06
9,1.0,0.0,28,1.0,3.220837769612698e-06
9,2.0,1.0,20,3.0,2.300598406866213e-06
9,1.0,3.0,15,4.0,1.7254488051496596e-06
9,3.0,2.0,14,5.0,1.610418884806349e-06
9,2.0,4.0,14,6.0,1.610418884806349e-06
9,3.0,4.0,13,7.0,1.4953889644630385e-06
9,0.0,2.0,13,2.0,1.4953889644630385e-06
9,4.0,4.0,11,8.0,1.2653291237764171e-06
9,4.0,3.0,10,7.0,1.1502992034331066e-06
9,2.0,0.0,8,2.0,9.202393627464852e-07
9,3.0,5.0,7,8.0,8.052094424031745e-07
9,4.0,5.0,7,9.0,8.052094424031745e-07
9,5.0,5.0,6,10.0,6.901795220598639e-07
9,2.0,5.0,5,7.0,5.751496017165533e-07
9,-1.0,2.0,5,1.0,5.751496017165533e-07
9,5.0,7.0,4,12.0,4.601196813732426e-07
9,3.0,1.0,3,4.0,3.4508976102993193e-07
9,0.5,0.5,3,1.0,3.4508976102993193e-07
9,7.0,5.0,3,12.0,3.4508976102993193e-07
9,5.0,2.0,2,7.0,2.300598406866213e-07
9,6.0,1.0,2,7.0,2.300598406866213e-07
9,5.0,6.0,2,11.0,2.300598406866213e-07
9,5.0,4.0,2,9.0,2.300598406866213e-07
9,8.0,7.0,2,15.0,2.300598406866213e-07
9,-1.0,1.0,2,0.0,2.300598406866213e-07
9,4.0,6.0,2,10.0,2.300598406866213e-07
9,3.5,3.5,2,7.0,2.300598406866213e-07
9,1.5,1.5,2,3.0,2.300598406866213e-07
9,0.0,3.0,2,3.0,2.300598406866213e-07
9,4.5,4.5,1,9.0,1.1502992034331065e-07
9,4.0,0.0,1,4.0,1.1502992034331065e-07
9,3.0,6.0,1,9.0,1.1502992034331065e-07
9,5.0,8.0,1,13.0,1.1502992034331065e-07
9,1.0,4.0,1,5.0,1.1502992034331065e-07
9,6.0,3.0,1,9.0,1.1502992034331065e-07
9,6.0,5.0,1,11.0,1.1502992034331065e-07
9,6.0,6.0,1,12.0,1.1502992034331065e-07
9,7.0,7.0,1,14.0,1.1502992034331065e-07
9,8.0,4.0,1,12.0,1.1502992034331065e-07
9,-1.0,4.0,1,3.0,1.1502992034331065e-07
9,11.0,4.0,1,15.0,1.1502992034331065e-07
10,1.0,1.0,645,2.0,7.459779407213379e-05
10,0.0,1.0,173,1.0,2.0008400580587824e-05
10,2.0,2.0,143,4.0,1.653873574002346e-05
10,1.0,2.0,135,3.0,1.5613491782539633e-05
10,2.0,3.0,74,5.0,8.558506606725429e-06
10,3.0,3.0,57,6.0,6.592363197072289e-06
10,3.0,4.0,37,7.0,4.279253303362714e-06
10,4.0,4.0,28,8.0,3.2383538511934053e-06
10,3.0,2.0,22,5.0,2.5444208830805323e-06
10,2.0,1.0,20,3.0,2.313109893709575e-06
