channel_width,channel_length,optimal_interval,max_value,channel_length_sqrt,optimal_interval_sq,max_bitrate,max_bitrate_sq,max_bitrate_log,max_bitrate_inv
6,30,79.0,0.5934385121105172,5.477225575051661,6241.0,0.009890641868508621,9.782479657109571e-05,-4.616166234694266,101.10567274546226
6,100,98.0,0.5234981696581086,10.0,9604.0,0.00872496949430181,7.61250926764972e-05,-4.7415663072548515,114.61358124553787
6,300,118.0,0.44261572111768077,17.320508075688775,13924.0,0.007376928685294679,5.441907682792348e-05,-4.909397894295646,135.557769725146
6,1000,164.0,0.2989573574993335,31.622776601683793,26896.0,0.004982622624988891,2.482652822305119e-05,-5.301798895043416,200.69751921102585
