channel_width,channel_length,interval,successful transmission,initiation failure,propagation failure,<= 6 front spawning,> 6 front spawning,annihilation by backward front
6,300,236,0.8536666666666667,0.004333333333333333,0.005666666666666667,0.07233333333333333,0.002,0.062
15,300,236,0.6733333333333333,0.012,0.009333333333333334,0.035,0.126,0.14433333333333334
30,300,236,0.45466666666666666,0.018333333333333333,0.05266666666666667,0.05633333333333333,0.21833333333333332,0.19966666666666666
60,300,236,0.19266666666666668,0.07366666666666667,0.04633333333333333,0.07366666666666667,0.38866666666666666,0.225
