interval,successful transmission,initiation failure,propagation failure,1 backward front spawning,other front spawning events,annihilation by backward front
40,0.0036666666666666666,0.959,0.004,0.027666666666666666,0.004,0.0016666666666666668
45,0.022,0.8936666666666667,0.012,0.051666666666666666,0.016666666666666666,0.004
50,0.034333333333333334,0.8083333333333333,0.029666666666666668,0.09033333333333333,0.032,0.005333333333333333
55,0.07933333333333334,0.6516666666666666,0.06333333333333334,0.14533333333333334,0.052,0.008333333333333333
60,0.12066666666666667,0.492,0.096,0.18633333333333332,0.09333333333333334,0.011666666666666667
65,0.19133333333333333,0.333,0.12,0.21333333333333335,0.11833333333333333,0.024
70,0.247,0.20133333333333334,0.13366666666666666,0.235,0.15033333333333335,0.03266666666666666
75,0.298,0.13866666666666666,0.14933333333333335,0.21866666666666668,0.164,0.03133333333333333
80,0.36233333333333334,0.075,0.14733333333333334,0.21633333333333332,0.15966666666666668,0.03933333333333333
85,0.43,0.03966666666666667,0.138,0.18833333333333332,0.15533333333333332,0.048666666666666664
90,0.4623333333333333,0.023333333333333334,0.13066666666666665,0.17833333333333334,0.15033333333333335,0.055
95,0.526,0.009333333333333334,0.095,0.163,0.144,0.06266666666666666
100,0.5616666666666666,0.005333333333333333,0.09266666666666666,0.14833333333333334,0.13433333333333333,0.057666666666666665
110,0.5776666666666667,0.0033333333333333335,0.06566666666666666,0.147,0.12966666666666668,0.07666666666666666
120,0.6336666666666667,0.002,0.057,0.12333333333333334,0.10433333333333333,0.07966666666666666
150,0.7026666666666667,0.0013333333333333333,0.03966666666666667,0.095,0.08,0.08133333333333333
200,0.771,0.001,0.019333333333333334,0.067,0.05366666666666667,0.088
300,0.796,0.001,0.015,0.048666666666666664,0.049666666666666665,0.08966666666666667
