channel_width,channel_length,interval,successful transmission,immediate failure,propagation failure,<= 6 front spawning,> 6 front spawning,annihilation by backward front
6,300,236,0.9713333333333334,0.0006666666666666666,0.004333333333333333,0.013,0.0,0.010666666666666666
15,300,236,0.9316666666666666,0.0016666666666666668,0.0026666666666666666,0.016666666666666666,0.014333333333333333,0.033
30,300,236,0.8753333333333333,0.003,0.008333333333333333,0.025666666666666667,0.04,0.04766666666666667
60,300,236,0.7423333333333333,0.007333333333333333,0.02033333333333333,0.043666666666666666,0.09733333333333333,0.089
