channel_width,channel_length,interval,successful transmission,initiation failure,propagation failure,<= 6 front spawning,> 6 front spawning,annihilation by backward front
6,300,356,0.994,0.0,0.005333333333333333,0.0003333333333333333,0.0,0.0003333333333333333
15,300,356,0.9976666666666667,0.0003333333333333333,0.0003333333333333333,0.001,0.0,0.0006666666666666666
30,300,356,0.996,0.0,0.002,0.0013333333333333333,0.0,0.0006666666666666666
60,300,356,0.952,0.0006666666666666666,0.038,0.006333333333333333,0.001,0.002
