channel_width,channel_length,interval,successful transmission,initiation failure,propagation failure,<= 6 front spawning,> 6 front spawning,annihilation by backward front
6,300,236,0.9386666666666666,0.0006666666666666666,0.008,0.028,0.0003333333333333333,0.024333333333333332
15,300,236,0.8503333333333334,0.0036666666666666666,0.0013333333333333333,0.025,0.04633333333333333,0.07333333333333333
30,300,236,0.7056666666666667,0.008333333333333333,0.023666666666666666,0.04666666666666667,0.105,0.11066666666666666
60,300,236,0.511,0.02666666666666667,0.035333333333333335,0.058666666666666666,0.20633333333333334,0.162
