channel_width,channel_length,interval,cond_entropy,efficiency,bitrate_per_min,bitrate_per_hour
6,30,85,0.26827919563614755,0.7317208043638525,0.008608480051339441,0.5165088030803665
6,30,87,0.2515206459498234,0.7484793540501766,0.008603210966093984,0.5161926579656391
6,30,90,0.21556280708914444,0.7844371929108556,0.008715968810120617,0.522958128607237
6,30,93,0.19040213841483203,0.809597861585168,0.00870535335037815,0.5223212010226891
6,30,95,0.17025463991050188,0.8297453600894982,0.008734161685152612,0.5240497011091567
6,30,98,0.1344920209997106,0.8655079790002894,0.008831714071431525,0.5299028442858915
6,30,101,0.11818394823822877,0.8818160517617712,0.008730851997641299,0.523851119858478
6,30,104,0.10156282617187178,0.8984371738281283,0.008638818979116617,0.518329138746997
6,30,108,0.07065904874534622,0.9293409512546538,0.008605008807913461,0.5163005284748077
6,30,111,0.04776146594990888,0.9522385340500912,0.008578725531982804,0.5147235319189682
6,30,114,0.04815924040801529,0.9518407595919847,0.008349480347298112,0.5009688208378867
6,52,89,0.2958487911404404,0.7041512088595596,0.00791181133550067,0.4747086801300402
6,52,92,0.27240936784621206,0.7275906321537879,0.007908593827758565,0.4745156296655139
6,52,95,0.23862629004901242,0.7613737099509876,0.008014460104747238,0.48086760628483427
6,52,98,0.2132844715364586,0.7867155284635414,0.00802770947411777,0.48166256844706623
6,52,101,0.19535624016520647,0.8046437598347935,0.007966769899354392,0.4780061939612635
6,52,104,0.16513027985225012,0.8348697201477498,0.008027593462959132,0.48165560777754796
6,52,107,0.1584250375373447,0.8415749624626553,0.007865186565071545,0.4719111939042927
6,52,110,0.1193938713698451,0.8806061286301549,0.008005510260274134,0.4803306156164481
6,52,114,0.09297915186976978,0.9070208481302302,0.007956323229212546,0.47737939375275273
6,52,117,0.07754133993320386,0.9224586600667961,0.007884262051852959,0.47305572311117755
6,52,121,0.061750980302402586,0.9382490196975974,0.0077541241297322105,0.4652474477839326
6,100,97,0.3194956227682136,0.6805043772317865,0.007015509043626664,0.4209305426175999
6,100,100,0.29752616859472686,0.7024738314052732,0.007024738314052732,0.4214842988431639
6,100,103,0.27610882787010005,0.7238911721299,0.007028069632329125,0.4216841779397475
6,100,106,0.2497908839490485,0.7502091160509515,0.007077444491046712,0.4246466694628027
6,100,109,0.2119211765150344,0.7880788234849656,0.007230080949403354,0.43380485696420124
6,100,113,0.1848133694898869,0.8151866305101131,0.007214040977965602,0.43284245867793614
6,100,116,0.1611696988429199,0.8388303011570801,0.007231295699630001,0.43387774197780005
6,100,119,0.13948249181114236,0.8605175081888576,0.007231239564612249,0.43387437387673494
6,100,123,0.12318379084564976,0.8768162091543502,0.00712858706629553,0.4277152239777318
6,100,127,0.11084815501289391,0.8891518449871061,0.007001195629819733,0.42007173778918394
6,100,131,0.09311615409288626,0.9068838459071138,0.006922777449672624,0.41536664698035747
6,170,105,0.3537262152916102,0.6462737847083898,0.006154988425794188,0.3692993055476513
6,170,108,0.3293274892908108,0.6706725107091892,0.0062099306547147145,0.37259583928288287
6,170,111,0.2782386734672899,0.7217613265327101,0.006502354293087478,0.3901412575852487
6,170,115,0.25232700113682427,0.7476729988631757,0.006501504337940659,0.39009026027643956
6,170,118,0.24527265711660673,0.7547273428833933,0.0063959944312151976,0.3837596658729119
6,170,122,0.20454062516159283,0.7954593748384071,0.006520158810150878,0.39120952860905267
6,170,126,0.19153487276805783,0.8084651272319422,0.006416389898666208,0.3849833939199725
6,170,130,0.16487073830678506,0.8351292616932149,0.006424071243793961,0.38544427462763764
6,170,134,0.14934537330363576,0.8506546266963643,0.0063481688559430165,0.380890131356581
6,170,138,0.13056082503983438,0.8694391749601657,0.00630028387652294,0.37801703259137637
6,170,142,0.12083858748755445,0.8791614125124455,0.006191277552904546,0.37147665317427275
6,300,116,0.389300600228154,0.610699399771846,0.005264649998033155,0.3158789998819893
6,300,120,0.3427221831226692,0.6572778168773308,0.005477315140644423,0.3286389084386654
6,300,124,0.31095610778082233,0.6890438922191777,0.005556805582412724,0.3334083349447634
6,300,127,0.3021108414846386,0.6978891585153614,0.005495190224530404,0.32971141347182426
6,300,131,0.25428253313781257,0.7457174668621874,0.005692499747039599,0.3415499848223759
6,300,135,0.23754657694568004,0.76245342305432,0.005647803133735704,0.3388681880241422
6,300,140,0.22289962602323762,0.7771003739767623,0.005550716956976874,0.3330430174186125
6,300,144,0.20456342442508918,0.7954365755749109,0.005523865108159103,0.3314319064895462
6,300,148,0.19185924677648283,0.8081407532235172,0.005460410494753495,0.32762462968520967
6,300,153,0.16829420535039163,0.8317057946496084,0.005435985585945153,0.32615913515670913
6,300,157,0.15155138626831016,0.8484486137316898,0.005404131297654075,0.3242478778592445
6,520,131,0.43004050309196484,0.5699594969080352,0.00435083585425981,0.2610501512555886
6,520,135,0.4002885207766672,0.5997114792233328,0.004442307253506169,0.26653843521037013
6,520,139,0.3800118153014891,0.6199881846985109,0.004460346652507273,0.26762079915043635
6,520,144,0.3317836002172834,0.6682163997827166,0.004640391665157754,0.27842349990946524
6,520,148,0.30928221575049397,0.690717784249506,0.004667012055739906,0.2800207233443943
6,520,153,0.29765981998097213,0.7023401800190279,0.004590458692934823,0.27542752157608935
6,520,157,0.2934706267298777,0.7065293732701223,0.0045001870908924985,0.2700112254535499
6,520,162,0.27139804741269896,0.7286019525873011,0.004497542917205563,0.26985257503233373
6,520,167,0.2518052279521734,0.7481947720478266,0.004480208215855249,0.26881249295131493
6,520,172,0.24353231019402163,0.7564676898059783,0.004398067963988246,0.2638840778392948
6,520,177,0.23272573756886117,0.7672742624311388,0.004334882838594005,0.26009297031564027
6,1000,155,0.5068595058403244,0.49314049415967565,0.003181551575223714,0.19089309451342285
6,1000,160,0.4893234158543664,0.5106765841456335,0.00319172865091021,0.19150371905461258
6,1000,165,0.463071751047822,0.536928248952178,0.00325411059971017,0.19524663598261022
6,1000,170,0.4465783391071845,0.5534216608928155,0.0032554215346636208,0.19532529207981725
6,1000,175,0.42137955799711496,0.5786204420028851,0.003306402525730772,0.1983841515438463
6,1000,180,0.4089332285954228,0.5910667714045772,0.0032837042855809843,0.19702225713485905
6,1000,186,0.38628451486477666,0.6137154851352233,0.003299545619006577,0.19797273714039462
6,1000,191,0.37534064300259945,0.6246593569974006,0.0032704678376827257,0.19622807026096353
6,1000,197,0.3609195334638514,0.6390804665361486,0.0032440632819093836,0.19464379691456302
6,1000,203,0.34890289845346284,0.6510971015465372,0.0032073748844657006,0.19244249306794203
6,1000,209,0.3460658582610909,0.6539341417389091,0.0031288714915737276,0.18773228949442367
