,channel_width,channel_length,interval,cond_entropy,efficiency,bitrate_per_min,bitrate_per_hour
0,6,30,20,0.937075190182255,0.06292480981774495,0.0031462404908872478,0.18877442945323486
1,6,30,30,0.8104186321183169,0.18958136788168312,0.006319378929389437,0.37916273576336623
2,6,30,40,0.6381955234661403,0.3618044765338597,0.009045111913346494,0.5427067148007896
3,6,30,50,0.5061135280828988,0.4938864719171012,0.009877729438342024,0.5926637663005214
4,6,30,60,0.4523664343728685,0.5476335656271315,0.009127226093785525,0.5476335656271315
5,6,30,70,0.3787415878020614,0.6212584121979385,0.008875120174256264,0.5325072104553759
6,6,30,80,0.28386914084971304,0.716130859150287,0.008951635739378587,0.5370981443627152
7,6,30,90,0.18837692775981124,0.8116230722401887,0.009018034136002096,0.5410820481601257
8,6,30,100,0.10114024766852703,0.898859752331473,0.00898859752331473,0.5393158513988837
9,6,30,105,0.06549535132356162,0.9345046486764383,0.008900044273108936,0.5340026563865361
10,6,30,110,0.047261321385998624,0.9527386786140014,0.00866126071467274,0.5196756428803644
11,6,30,115,0.029057258631922503,0.9709427413680775,0.008442980359722413,0.5065788215833448
12,6,30,120,0.022461843421330386,0.9775381565786696,0.008146151304822246,0.4887690782893348
13,6,30,125,0.021228206471540376,0.9787717935284597,0.007830174348227678,0.4698104608936607
14,6,30,130,0.013189097424185368,0.9868109025758146,0.007590853096737036,0.45545118580422217
15,6,30,135,0.007186511145941481,0.9928134888540585,0.007354173991511544,0.44125043949069265
16,6,30,140,0.007712372417815147,0.9922876275821848,0.007087768768444178,0.42526612610665065
17,6,30,145,0.007885522880074606,0.9921144771199254,0.006842168807723623,0.4105301284634174
18,6,30,150,0.007310724990765129,0.9926892750092349,0.006617928500061565,0.3970757100036939
19,6,30,155,0.0059214678626031405,0.9940785321373968,0.0064134098847573985,0.3848045930854439
20,6,30,160,0.0061575218288452156,0.9938424781711548,0.006211515488569718,0.3726909293141831
21,6,30,165,0.006239328741992634,0.9937606712580074,0.006022791947018226,0.3613675168210936
22,6,30,170,0.006614656891887553,0.9933853431081124,0.005843443194753602,0.35060659168521613
23,6,30,175,0.0036002596809864493,0.9963997403190136,0.0056937128018229345,0.3416227681093761
24,6,30,180,0.007214555219094419,0.9927854447809056,0.005515474693227254,0.3309284815936352
25,6,30,185,0.006128212402521981,0.9938717875974781,0.005372279932959341,0.32233679597756043
26,6,30,190,0.0042893239028652715,0.9957106760971347,0.005240582505774393,0.3144349503464636
27,6,30,195,0.005999661427206489,0.9940003385727935,0.005097437633706633,0.30584625802239795
28,6,30,200,0.004125806817977461,0.9958741931820225,0.004979370965910113,0.29876225795460676
29,6,30,220,0.0029237045651553137,0.9970762954348447,0.004532164979249294,0.2719298987549576
30,6,30,240,0.003925881417994165,0.9960741185820058,0.0041503088274250245,0.24901852964550147
31,6,30,260,0.0029481938431415236,0.9970518061568585,0.0038348146390648403,0.2300888783438904
32,6,30,280,0.0033261513065900718,0.9966738486934099,0.0035595494596193213,0.21357296757715927
33,6,100,20,0.9845792084820958,0.015420791517904209,0.0007710395758952105,0.046262374553712626
34,6,100,30,0.9370442316958155,0.06295576830418448,0.0020985256101394827,0.12591153660836896
35,6,100,40,0.8571082620047892,0.14289173799521082,0.0035722934498802704,0.21433760699281623
36,6,100,50,0.7047525393536432,0.29524746064635676,0.005904949212927136,0.3542969527756281
37,6,100,60,0.6263711115014544,0.3736288884985456,0.006227148141642426,0.3736288884985456
38,6,100,70,0.5563166479125897,0.4436833520874103,0.006338333601248718,0.3803000160749231
39,6,100,80,0.4541577211568645,0.5458422788431355,0.006823028485539194,0.4093817091323516
40,6,100,90,0.35891003407219235,0.6410899659278076,0.007123221843642307,0.4273933106185384
41,6,100,100,0.26239427513821956,0.7376057248617804,0.007376057248617804,0.4425634349170683
42,6,100,105,0.2179687825393603,0.7820312174606396,0.007447916356767997,0.4468749814060798
