,channel_width,channel_length,interval,cond_entropy,efficiency,bitrate_per_min,bitrate_per_hour
0,6,30,20,0.9441103982890531,0.05588960171094692,0.0027944800855473463,0.16766880513284077
1,6,30,30,0.8283198174168173,0.17168018258318274,0.005722672752772758,0.3433603651663655
2,6,30,40,0.6472475269756569,0.3527524730243431,0.008818811825608577,0.5291287095365147
3,6,30,50,0.5133438059151259,0.48665619408487415,0.009733123881697482,0.583987432901849
4,6,30,60,0.46435133926908767,0.5356486607309123,0.00892747767884854,0.5356486607309123
5,6,30,70,0.38165129332643183,0.6183487066735682,0.008833552952479546,0.5300131771487728
6,6,30,80,0.29094239058536975,0.7090576094146303,0.008863220117682879,0.5317932070609728
7,6,30,90,0.19298936023475058,0.8070106397652494,0.00896678488628055,0.5380070931768329
8,6,30,100,0.10718416437836806,0.8928158356216319,0.008928158356216319,0.5356895013729791
9,6,30,105,0.07510555666580432,0.9248944433341957,0.00880851850794472,0.5285111104766832
10,6,30,110,0.056380825817009914,0.9436191741829901,0.008578356128936274,0.5147013677361765
11,6,30,115,0.03907113376284321,0.9609288662371568,0.00835590318467093,0.5013541910802557
12,6,30,120,0.03288987477998212,0.9671101252200178,0.008059251043500148,0.48355506261000886
13,6,30,125,0.031008929568674064,0.9689910704313259,0.007751928563450607,0.4651157138070364
14,6,30,130,0.024184630932287628,0.9758153690677124,0.007506272069751634,0.45037632418509804
15,6,30,135,0.01826721454078434,0.9817327854592156,0.007272094707105301,0.4363256824263181
16,6,30,140,0.018861091086788233,0.9811389089132118,0.007008135063665798,0.4204881038199479
17,6,30,145,0.018891190236813595,0.9811088097631864,0.006766267653539216,0.40597605921235297
18,6,30,150,0.01786790150258652,0.9821320984974135,0.00654754732331609,0.3928528393989654
19,6,30,155,0.017460132711838775,0.9825398672881612,0.006338966885730072,0.38033801314380433
20,6,30,160,0.016916264049348574,0.9830837359506515,0.006144273349691571,0.36865640098149427
21,6,30,165,0.016219211876372534,0.9837807881236275,0.005962307806809864,0.3577384684085918
22,6,30,170,0.017839484088805087,0.9821605159111949,0.005777414799477617,0.346644887968657
23,6,30,175,0.013827262716815305,0.9861727372831847,0.005635272784475341,0.33811636706852044
24,6,30,180,0.017907346532308313,0.9820926534676917,0.005456070297042732,0.3273642178225639
25,6,30,185,0.017584500085627074,0.9824154999143729,0.005310354053591205,0.3186212432154723
26,6,30,190,0.01625010082760398,0.983749899172396,0.005177631048275768,0.31065786289654607
27,6,30,195,0.0168167420819663,0.9831832579180337,0.005041965425220686,0.30251792551324114
28,6,30,200,0.016643037938490264,0.9833569620615097,0.004916784810307548,0.2950070886184529
29,6,30,220,0.014420637344985396,0.9855793626550146,0.00447990619388643,0.2687943716331858
30,6,30,240,0.015085534953098516,0.9849144650469015,0.004103810271028756,0.24622861626172537
31,6,30,260,0.013328756437089995,0.98667124356291,0.003794889398318885,0.22769336389913308
32,6,30,280,0.014811607918373632,0.9851883920816263,0.003518529971720094,0.21111179830320564
33,6,100,20,0.9838381224926853,0.01616187750731468,0.0008080938753657341,0.048485632521944044
34,6,100,30,0.9432489310339734,0.05675106896602655,0.0018917022988675517,0.1135021379320531
35,6,100,40,0.8726266229690618,0.1273733770309382,0.003184334425773455,0.1910600655464073
