,channel_width,channel_length,interval,cond_entropy,efficiency,bitrate_per_min,bitrate_per_hour
0,6,30,20,0.9550658672743473,0.04493413272565272,0.002246706636282636,0.13480239817695816
1,6,30,30,0.8631509170249508,0.13684908297504916,0.0045616360991683055,0.2736981659500983
2,6,30,40,0.7071212634564142,0.29287873654358576,0.007321968413589644,0.43931810481537864
3,6,30,50,0.5847226937940637,0.4152773062059363,0.008305546124118726,0.49833276744712357
4,6,30,60,0.5188179663634696,0.48118203363653045,0.00801970056060884,0.4811820336365304
5,6,30,70,0.4191088338700181,0.5808911661299818,0.008298445230428312,0.4979067138256987
6,6,30,80,0.31848167659604515,0.6815183234039548,0.008518979042549436,0.5111387425529661
7,6,30,90,0.21556280708914444,0.7844371929108556,0.008715968810120617,0.522958128607237
8,6,30,100,0.12190483216822724,0.8780951678317728,0.008780951678317727,0.5268571006990637
9,6,30,105,0.08399151530928654,0.9160084846907135,0.008723890330387748,0.5234334198232649
10,6,30,110,0.06154643674803585,0.9384535632519642,0.00853139602956331,0.5118837617737986
11,6,30,115,0.03976825433174907,0.960231745668251,0.008349841266680444,0.5009904760008266
12,6,30,120,0.028435572179199526,0.9715644278208004,0.008096370231840004,0.4857822139104002
13,6,30,125,0.026334773559117643,0.9736652264408824,0.007789321811527059,0.46735930869162357
14,6,30,130,0.015046820505683288,0.9849531794943167,0.007576562919187051,0.45459377515122307
15,6,30,135,0.007531625459640603,0.9924683745403594,0.007351617589187847,0.44109705535127086
16,6,30,140,0.007854244621414827,0.9921457553785852,0.0070867553955613225,0.42520532373367936
17,6,30,145,0.007815062750020583,0.9921849372499795,0.006842654739655031,0.41055928437930184
18,6,30,150,0.008015849295215868,0.9919841507047842,0.0066132276713652275,0.39679366028191365
19,6,30,155,0.004561841244992182,0.9954381587550079,0.006422181669387147,0.38533090016322885
20,6,30,160,0.006049478043356975,0.993950521956643,0.006212190762229019,0.3727314457337411
21,6,30,165,0.00622712012492376,0.9937728798750762,0.006022865938636826,0.36137195631820956
22,6,30,170,0.006282642457967451,0.9937173575420325,0.005845396220835485,0.3507237732501291
23,6,30,175,0.002992218221234758,0.9970077817787653,0.005697187324450087,0.3418312394670052
24,6,30,180,0.007572421409418723,0.9924275785905813,0.0055134865477254515,0.3308091928635271
25,6,30,185,0.005701603296159451,0.9942983967038406,0.005374585928128868,0.3224751556877321
26,6,30,190,0.004581052749164721,0.9954189472508352,0.00523904709079387,0.3143428254476322
27,6,30,195,0.005174064501497476,0.9948259354985025,0.005101671464094884,0.30610028784569304
28,6,30,200,0.0032229998414428696,0.9967770001585571,0.0049838850007927855,0.2990331000475671
29,6,30,220,0.0020065251808587194,0.9979934748191412,0.004536333976450642,0.2721800385870385
30,6,30,240,0.0023644805404524146,0.9976355194595475,0.004156814664414781,0.24940887986488686
31,6,30,260,0.0014741391521252002,0.9985258608478748,0.0038404840801841336,0.230429044811048
32,6,30,280,0.0016229543701669462,0.9983770456298331,0.0035656323058208326,0.21393793834924996
33,6,100,20,0.9923641858704141,0.007635814129585916,0.0003817907064792958,0.02290744238875775
34,6,100,30,0.9620531421082498,0.03794685789175023,0.001264895263058341,0.07589371578350046
35,6,100,40,0.9121185008381378,0.08788149916186216,0.002197037479046554,0.13182224874279325
36,6,100,50,0.775008766810001,0.22499123318999903,0.004499824663799981,0.2699894798279988
37,6,100,60,0.7069973067495378,0.29300269325046224,0.004883378220841037,0.29300269325046224
38,6,100,70,0.6565488875335322,0.34345111246646776,0.0049064444638066826,0.29438666782840095
39,6,100,80,0.5281909100174342,0.47180908998256577,0.005897613624782072,0.3538568174869243
40,6,100,90,0.409767912765247,0.5902320872347531,0.006558134302608367,0.39348805815650206
41,6,100,100,0.29755275022063427,0.7024472497793657,0.0070244724977936565,0.4214683498676194
42,6,100,105,0.2464072270879475,0.7535927729120525,0.007177074027733834,0.43062444166403
43,6,100,110,0.21397682588106454,0.7860231741189354,0.007145665219263049,0.42873991315578297
44,6,100,115,0.18003482312017252,0.8199651768798275,0.007130131972868065,0.42780791837208393
45,6,100,120,0.1464759695146919,0.8535240304853081,0.007112700254044234,0.42676201524265406
46,6,100,125,0.12068176457134122,0.8793182354286588,0.00703454588342927,0.4220727530057562
47,6,100,130,0.08883871831620645,0.9111612816837935,0.007008932936029181,0.42053597616175087
48,6,100,135,0.08213166013587565,0.9178683398641243,0.006799024739734254,0.4079414843840552
49,6,100,140,0.057319292973389856,0.9426807070266101,0.006733433621618643,0.4040060172971186
50,6,100,145,0.06165663384503128,0.9383433661549687,0.006471333559689439,0.3882800135813663
51,6,100,150,0.05262381328499272,0.9473761867150072,0.006315841244766715,0.3789504746860029
52,6,100,155,0.04376165416073778,0.9562383458392623,0.006169279650575885,0.37015677903455313
53,6,100,160,0.046183388312440024,0.9538166116875599,0.005961353823047249,0.357681229382835
54,6,100,165,0.03581217324443682,0.9641878267555631,0.005843562586397353,0.35061375518384114
55,6,100,170,0.035834835635672004,0.964165164364328,0.0056715597903783995,0.340293587422704
56,6,100,175,0.03474677798513058,0.9652532220148694,0.005515732697227826,0.33094396183366953
57,6,100,180,0.036300675799305106,0.9636993242006949,0.005353885134448305,0.3212331080668983
58,6,100,185,0.03285912794339709,0.9671408720566029,0.005227788497603259,0.3136673098561955
59,6,100,190,0.02936647807357613,0.9706335219264238,0.005108597483823283,0.306515849029397
60,6,100,195,0.030165187379199657,0.9698348126208003,0.004973511859593847,0.2984107115756308
61,6,100,200,0.029713159855051224,0.9702868401449488,0.004851434200724744,0.29108605204348464
62,6,100,220,0.027157257680022667,0.9728427423199774,0.0044220124650908065,0.2653207479054484
63,6,100,240,0.025774369846602547,0.9742256301533975,0.00405927345897249,0.2435564075383494
64,6,100,260,0.02684347923451277,0.9731565207654872,0.003742909695251874,0.22457458171511244
65,6,100,280,0.019880566385611524,0.9801194336143885,0.003500426548622816,0.21002559291736897
66,6,300,20,0.9987679947666237,0.0012320052333762987,6.160026166881493e-05,0.003696015700128896
67,6,300,30,0.9904800078857781,0.009519992114221942,0.00031733307047406473,0.019039984228443885
68,6,300,40,0.972125025217496,0.027874974782504003,0.0006968743695626,0.041812462173756004
69,6,300,50,0.9363298607633743,0.06367013923662568,0.0012734027847325136,0.07640416708395081
70,6,300,60,0.8802536389342606,0.11974636106573944,0.0019957726844289907,0.11974636106573944
71,6,300,70,0.8269575140785926,0.17304248592140736,0.0024720355131629622,0.14832213078977774
72,6,300,80,0.786717194121485,0.213282805878515,0.0026660350734814377,0.15996210440888625
73,6,300,90,0.7084240883997164,0.2915759116002836,0.0032397323511142626,0.19438394106685575
74,6,300,100,0.599957788941675,0.40004221105832505,0.004000422110583251,0.24002532663499504
75,6,300,105,0.5404968629483414,0.4595031370516586,0.0043762203528729384,0.2625732211723763
76,6,300,110,0.4620765894780607,0.5379234105219393,0.00489021282292672,0.29341276937560323
77,6,300,115,0.39685996328661843,0.6031400367133816,0.005244695971420709,0.31468175828524253
78,6,300,120,0.3430357612179177,0.6569642387820823,0.005474701989850686,0.32848211939104116
79,6,300,125,0.284905692506922,0.715094307493078,0.005720754459944624,0.34324526759667745
80,6,300,130,0.2906021565326403,0.7093978434673597,0.005456906488210459,0.32741438929262756
81,6,300,135,0.23710272468388924,0.7628972753161107,0.005651090928267487,0.33906545569604923
82,6,300,140,0.22291627319120383,0.7770837268087962,0.005550598048634258,0.3330358829180555
83,6,300,145,0.17969711821388698,0.820302881786113,0.005657261253697331,0.3394356752218398
84,6,300,150,0.17905827990412054,0.8209417200958795,0.005472944800639197,0.3283766880383518
85,6,300,155,0.1683957029792959,0.831604297020704,0.0053651890130368,0.321911340782208
86,6,300,160,0.15768143466547507,0.8423185653345249,0.00526449103334078,0.3158694620004468
87,6,300,165,0.13807575008720277,0.8619242499127973,0.0052237833328048315,0.3134269999682899
88,6,300,170,0.13314839515576077,0.8668516048442392,0.005099127087319054,0.30594762523914326
89,6,300,175,0.13036817035954518,0.8696318296404548,0.004969324740802599,0.29815948444815593
90,6,300,180,0.12153394684914495,0.878466053150855,0.0048803669619491945,0.29282201771695165
91,6,300,185,0.1118582354887222,0.8881417645112778,0.004800766294655556,0.2880459776793333
92,6,300,190,0.09411528778789817,0.9058847122121019,0.004767814274800536,0.28606885648803215
93,6,300,195,0.11490412261447006,0.88509587738553,0.004538953217361692,0.2723371930417015
94,6,300,200,0.09857180916376238,0.9014281908362376,0.004507140954181188,0.2704284572508713
95,6,300,220,0.10200691146775652,0.8979930885322435,0.0040817867660556525,0.24490720596333915
96,6,300,240,0.10070088943253566,0.8992991105674644,0.0037470796273644347,0.2248247776418661
97,6,300,260,0.09766441662389647,0.9023355833761035,0.003470521474523475,0.2082312884714085
98,6,300,280,0.09192020951470725,0.9080797904852927,0.0032431421088760454,0.19458852653256273
99,6,1000,20,0.9980283350338043,0.0019716649661957186,9.858324830978593e-05,0.005914994898587156
100,6,1000,30,0.9999163906100667,8.360938993334788e-05,2.786979664444929e-06,0.00016721877986669575
101,6,1000,40,0.9986844754981891,0.0013155245018109385,3.288811254527346e-05,0.0019732867527164077
102,6,1000,50,0.9900593864459462,0.009940613554053845,0.00019881227108107692,0.011928736264864615
103,6,1000,60,0.9705384327682612,0.02946156723173876,0.0004910261205289794,0.02946156723173876
104,6,1000,70,0.9567777887099539,0.04322221129004611,0.0006174601612863729,0.037047609677182375
105,6,1000,80,0.9389788307413508,0.0610211692586492,0.000762764615733115,0.0457658769439869
106,6,1000,90,0.9083493962376898,0.09165060376231016,0.001018340041803446,0.061100402508206766
107,6,1000,100,0.8806957745336665,0.11930422546633346,0.0011930422546633345,0.07158253527980007
108,6,1000,105,0.8561846963210935,0.1438153036789065,0.0013696695588467285,0.0821801735308037
109,6,1000,110,0.8332595857194709,0.1667404142805291,0.00151582194800481,0.0909493168802886
110,6,1000,115,0.800367294509897,0.19963270549010304,0.0017359365694791567,0.10415619416874941
111,6,1000,120,0.7817254194582025,0.2182745805417975,0.0018189548378483124,0.10913729027089875
112,6,1000,125,0.7373377232895532,0.26266227671044684,0.002101298213683575,0.1260778928210145
113,6,1000,130,0.6913442638987763,0.30865573610122365,0.002374274893086336,0.14245649358518014
114,6,1000,135,0.6521886270464067,0.3478113729535933,0.0025763805403969877,0.15458283242381926
115,6,1000,140,0.609447151425953,0.39055284857404704,0.002789663204100336,0.16737979224602015
116,6,1000,145,0.5796122291598095,0.4203877708401905,0.0028992260057944174,0.17395356034766504
117,6,1000,150,0.5389987243314298,0.4610012756685702,0.003073341837790468,0.18440051026742807
118,6,1000,155,0.5068669063673944,0.4931330936326056,0.003181503829887778,0.19089022979326667
119,6,1000,160,0.48934862383680644,0.5106513761631936,0.0031915711010199596,0.19149426606119757
120,6,1000,165,0.4630340000112843,0.5369659999887157,0.0032543393938710046,0.19526036363226026
121,6,1000,170,0.4465783391071845,0.5534216608928155,0.0032554215346636208,0.19532529207981725
122,6,1000,175,0.4213744499320766,0.5786255500679234,0.0033064317146738477,0.19838590288043087
123,6,1000,180,0.40893067887478063,0.5910693211252194,0.0032837184506956632,0.19702310704173978
124,6,1000,185,0.384314207996981,0.615685792003019,0.003328031308124427,0.19968187848746563
125,6,1000,190,0.3767667090369884,0.6232332909630116,0.003280175215594798,0.19681051293568788
126,6,1000,195,0.3617122311589527,0.6382877688410473,0.0032732706094412683,0.1963962365664761
127,6,1000,200,0.36211381010570237,0.6378861898942976,0.003189430949471488,0.19136585696828928
128,6,1000,220,0.3358829936938982,0.6641170063061018,0.0030187136650277357,0.18112281990166415
129,6,1000,240,0.31627973331633247,0.6837202666836675,0.002848834444515281,0.17093006667091687
130,6,1000,260,0.3018342047009982,0.6981657952990018,0.0026852530588423146,0.16111518353053889
