channel_width,channel_length,optimal_interval,max_value,channel_length_sqrt,optimal_interval_sq,max_bitrate,max_bitrate_sq,max_bitrate_log,max_bitrate_inv
6,30,219.0,0.008748223171172477,5.477225575051661,47961.0,0.00014580371951954126,2.125872462573306e-08,-8.833249227607155,6858.535593572258
6,100,177.0,0.0002342242068738311,10.0,31329.0,3.903736781230518e-06,1.5239160857132005e-11,-12.453576314526993,256164.812342902
6,300,148.0,0.004350284258284305,17.320508075688775,21904.0,7.250473763807174e-05,5.256936979965617e-09,-9.531858651506626,13792.202172936446
6,1000,233.0,0.002541443698084869,31.622776601683793,54289.0,4.235739496808115e-05,1.7941489084820263e-09,-10.069367536570622,23608.628452093435
