channel_width,channel_length,optimal_interval,max_value,channel_length_sqrt,optimal_interval_sq,max_bitrate,max_bitrate_sq,max_bitrate_log,max_bitrate_inv
6,30,118.0,0.4556765367912773,5.477225575051661,13924.0,0.0075946089465212885,5.7678085050581194e-05,-4.880316632538929,131.67234903622656
6,100,131.0,0.3969330809411303,10.0,17161.0,0.006615551349018838,4.3765519651504965e-05,-5.018332136586327,151.15898089859306
6,300,158.0,0.3412540026900833,17.320508075688775,24964.0,0.005687566711501389,3.234841509777872e-05,-5.169472765279108,175.82211351961843
6,1000,187.0,0.26090131908526265,31.622776601683793,34969.0,0.004348355318087711,1.8908193972341674e-05,-5.437957593170685,229.97200708054672
