interval,successful transmission,immediate failure,propagation failure,1 backward front spawning,other front spawning events,annihilation by backward front
40,0.006,0.9753333333333334,0.0016666666666666668,0.013666666666666667,0.003,0.0003333333333333333
45,0.028,0.926,0.007666666666666666,0.024666666666666667,0.011333333333333334,0.0023333333333333335
50,0.04833333333333333,0.8573333333333333,0.023,0.048,0.020666666666666667,0.0026666666666666666
55,0.109,0.7176666666666667,0.04733333333333333,0.08633333333333333,0.037333333333333336,0.0023333333333333335
60,0.16466666666666666,0.5586666666666666,0.077,0.121,0.073,0.005666666666666667
65,0.257,0.38866666666666666,0.10233333333333333,0.15866666666666668,0.08566666666666667,0.007666666666666666
70,0.3423333333333333,0.25033333333333335,0.113,0.16733333333333333,0.116,0.011
75,0.4086666666666667,0.16733333333333333,0.13133333333333333,0.175,0.11,0.007666666666666666
80,0.49266666666666664,0.09366666666666666,0.12333333333333334,0.168,0.10733333333333334,0.015
85,0.571,0.051666666666666666,0.11166666666666666,0.14966666666666667,0.10133333333333333,0.014666666666666666
90,0.6253333333333333,0.029666666666666668,0.10066666666666667,0.13,0.1,0.014333333333333333
95,0.6843333333333333,0.012666666666666666,0.07,0.11833333333333333,0.091,0.023666666666666666
100,0.7213333333333334,0.007,0.07033333333333333,0.10633333333333334,0.07433333333333333,0.020666666666666667
110,0.774,0.005333333333333333,0.043,0.08533333333333333,0.069,0.023333333333333334
120,0.829,0.003,0.03,0.06133333333333333,0.051666666666666666,0.025
150,0.8956666666666667,0.0013333333333333333,0.013333333333333334,0.038,0.027,0.024666666666666667
200,0.928,0.001,0.006666666666666667,0.02,0.017333333333333333,0.027
300,0.94,0.0013333333333333333,0.004666666666666667,0.017333333333333333,0.013,0.023666666666666666
