interval,propagation failure,1 backward front spawning,other front spawning events,annihilation by backward front
40,0.0005070993914807302,0.004158215010141988,0.0009127789046653144,0.00010141987829614604
45,0.0006499561986040071,0.002091163421595501,0.0009608048153276627,0.00019781275609687173
50,0.0011013040077889325,0.002298373581472555,0.0009895775142451278,0.0001276874211929197
55,0.0010763446728518583,0.001963192044145291,0.0008489479109817476,5.305924443635922e-05
60,0.0011086793756839256,0.0017422104475033119,0.0010510856418821633,8.159112288583004e-05
65,0.0010061285353783632,0.0015599908235833905,0.0008422639530691836,7.537770786222265e-05
70,0.0008686739269698911,0.0012863549007046764,0.000891736066623959,8.456117873158232e-05
75,0.0008553874210286359,0.0011397928833503396,0.0007164412409630706,4.99337834610625e-05
80,0.0006891606209895974,0.0009387485215642083,0.0005997559998882442,8.381683228251859e-05
85,0.0005545659817638842,0.0007432839576477135,0.0005032479356902114,7.283851700779374e-05
90,0.00046606664444362136,0.0006018741434867958,0.0004629801103744583,6.636048248700569e-05
95,0.00029902347476669047,0.0005054920644865482,0.00038873051719669763,0.00010109841289730966
100,0.0002873715850790136,0.00043446225421898266,0.0003037149927612324,8.444093969146372e-05
110,0.00016698013195313682,0.00033137142465118624,0.00026794486290154513,9.060937392805874e-05
120,0.00011057869517139697,0.00022607199901707823,0.00019044108612851699,9.21489126428308e-05
150,4.697780064030743e-05,0.00013388673182487617,9.513004629662255e-05,8.690893118456875e-05
200,2.3040333255380207e-05,6.912099976614062e-05,5.9904866463988545e-05,9.331334968428984e-05
300,1.6055892856733268e-05,5.9636173467866424e-05,4.472713010089982e-05,8.1426313773433e-05
