channel_width,channel_length,optimal_interval,max_value,channel_length_sqrt,optimal_interval_sq,max_bitrate,max_bitrate_sq,max_bitrate_log,max_bitrate_inv
6,30,83.0,0.4775215776184323,5.477225575051661,6889.0,0.007958692960307205,6.334079363644347e-05,-4.833490493574732,125.64877235336894
6,100,121.0,0.38107755009521405,10.0,14641.0,0.006351292501586901,4.0338916440714e-05,-5.059096943232724,157.44826738024508
6,300,151.0,0.240912164265014,17.320508075688775,22801.0,0.004015202737750233,1.6121853025236968e-05,-5.5176674377772414,249.05342651771355
6,1000,202.0,0.08952671948884537,31.622776601683793,40804.0,0.0014921119914807562,2.226398195120668e-06,-6.507562718703348,670.1909814474519
