channel_width,channel_length,optimal_interval,max_value,channel_length_sqrt,optimal_interval_sq,max_bitrate,max_bitrate_sq,max_bitrate_log,max_bitrate_inv
6,30,105.0,0.47664715940458446,5.477225575051661,11025.0,0.007944119323409741,6.310903182457204e-05,-4.835323331781864,125.87927739871664
6,100,121.0,0.42569603068542156,10.0,14641.0,0.007094933844757026,5.033808626147871e-05,-4.9483742926198,140.94564119705984
6,300,146.0,0.3721206947964073,17.320508075688775,21316.0,0.006202011579940121,3.846494763771136e-05,-5.082881591175645,161.2380091701884
6,1000,195.0,0.26263547214819694,31.622776601683793,38025.0,0.004377257869136616,1.9160386452918426e-05,-5.431332807924216,228.45352727579726
