channel_width,channel_length,interval,end,n_simulations,n_pulses,n_fronts_received
6,1000,40,710,30,500,3090
6,1000,40,720,30,500,3090
6,1000,40,730,30,500,3090
6,1000,40,740,30,500,3075
6,1000,40,750,30,500,3062
6,1000,40,760,30,500,3057
6,1000,40,770,30,500,3046
6,1000,40,780,30,500,3035
6,1000,40,790,30,500,3030
6,1000,40,800,30,500,3022
6,1000,40,810,30,500,3024
6,1000,40,820,30,500,3015
6,1000,40,830,30,500,3013
6,1000,40,840,30,500,3007
6,1000,40,850,30,500,2999
6,1000,40,860,30,500,2991
6,1000,40,870,30,500,2994
6,1000,40,880,30,500,2973
6,1000,40,890,30,500,2970
6,1000,40,900,30,500,2949
6,1000,40,910,30,500,2957
6,1000,40,920,30,500,2945
6,1000,40,930,30,500,2934
6,1000,40,940,30,500,2925
6,1000,40,950,30,500,2918
6,1000,40,960,30,500,2909
6,1000,40,970,30,500,2902
6,1000,40,980,30,500,2900
6,1000,40,990,30,500,2885
6,1000,40,1000,30,500,2875
6,1000,50,2,30,500,15029
6,1000,50,10,30,500,7682
6,1000,50,20,30,500,6822
6,1000,50,30,30,500,6477
6,1000,50,40,30,500,6227
6,1000,50,50,30,500,6028
6,1000,50,60,30,500,5858
6,1000,50,70,30,500,5692
6,1000,50,80,30,500,5553
6,1000,50,90,30,500,5471
6,1000,50,100,30,500,5360
6,1000,50,110,30,500,5288
6,1000,50,120,30,500,5187
6,1000,50,130,30,500,5127
6,1000,50,140,30,500,5073
6,1000,50,150,30,500,5015
6,1000,50,160,30,500,4962
6,1000,50,170,30,500,4908
6,1000,50,180,30,500,4851
6,1000,50,190,30,500,4795
6,1000,50,200,30,500,4772
6,1000,50,210,30,500,4743
6,1000,50,220,30,500,4696
6,1000,50,230,30,500,4659
6,1000,50,240,30,500,4625
6,1000,50,250,30,500,4594
6,1000,50,260,30,500,4576
6,1000,50,270,30,500,4544
6,1000,50,280,30,500,4526
6,1000,50,290,30,500,4491
6,1000,50,300,30,500,4469
6,1000,50,310,30,500,4434
6,1000,50,320,30,500,4417
6,1000,50,330,30,500,4394
6,1000,50,340,30,500,4379
6,1000,50,350,30,500,4356
6,1000,50,360,30,500,4329
6,1000,50,370,30,500,4300
6,1000,50,380,30,500,4288
6,1000,50,390,30,500,4268
6,1000,50,400,30,500,4243
6,1000,50,410,30,500,4234
6,1000,50,420,30,500,4201
6,1000,50,430,30,500,4189
6,1000,50,440,30,500,4168
6,1000,50,450,30,500,4154
6,1000,50,460,30,500,4137
6,1000,50,470,30,500,4112
6,1000,50,480,30,500,4095
6,1000,50,490,30,500,4084
6,1000,50,500,30,500,4080
6,1000,50,510,30,500,4060
6,1000,50,520,30,500,4049
6,1000,50,530,30,500,4038
6,1000,50,540,30,500,4028
6,1000,50,550,30,500,4013
6,1000,50,560,30,500,3992
6,1000,50,570,30,500,3983
6,1000,50,580,30,500,3971
6,1000,50,590,30,500,3959
6,1000,50,600,30,500,3947
6,1000,50,610,30,500,3940
6,1000,50,620,30,500,3914
6,1000,50,630,30,500,3899
6,1000,50,640,30,500,3884
6,1000,50,650,30,500,3872
6,1000,50,660,30,500,3866
6,1000,50,670,30,500,3852
6,1000,50,680,30,500,3839
6,1000,50,690,30,500,3832
6,1000,50,700,30,500,3808
6,1000,50,710,30,500,3795
6,1000,50,720,30,500,3780
6,1000,50,730,30,500,3770
6,1000,50,740,30,500,3763
6,1000,50,750,30,500,3757
6,1000,50,760,30,500,3744
6,1000,50,770,30,500,3725
6,1000,50,780,30,500,3717
6,1000,50,790,30,500,3690
6,1000,50,800,30,500,3678
6,1000,50,810,30,500,3671
6,1000,50,820,30,500,3669
6,1000,50,830,30,500,3647
6,1000,50,840,30,500,3638
6,1000,50,850,30,500,3631
6,1000,50,860,30,500,3617
6,1000,50,870,30,500,3612
6,1000,50,880,30,500,3593
6,1000,50,890,30,500,3595
6,1000,50,900,30,500,3579
6,1000,50,910,30,500,3568
6,1000,50,920,30,500,3548
6,1000,50,930,30,500,3547
6,1000,50,940,30,500,3529
6,1000,50,950,30,500,3533
6,1000,50,960,30,500,3519
6,1000,50,970,30,500,3506
6,1000,50,980,30,500,3493
6,1000,50,990,30,500,3475
6,1000,50,1000,30,500,3453
6,1000,60,2,30,500,15157
6,1000,60,10,30,500,9167
6,1000,60,20,30,500,7768
6,1000,60,30,30,500,7322
6,1000,60,40,30,500,7047
6,1000,60,50,30,500,6821
6,1000,60,60,30,500,6697
6,1000,60,70,30,500,6568
6,1000,60,80,30,500,6466
6,1000,60,90,30,500,6380
6,1000,60,100,30,500,6276
6,1000,60,110,30,500,6208
6,1000,60,120,30,500,6136
6,1000,60,130,30,500,6078
6,1000,60,140,30,500,6016
6,1000,60,150,30,500,5945
6,1000,60,160,30,500,5914
6,1000,60,170,30,500,5880
6,1000,60,180,30,500,5830
6,1000,60,190,30,500,5794
6,1000,60,200,30,500,5754
6,1000,60,210,30,500,5727
6,1000,60,220,30,500,5687
6,1000,60,230,30,500,5663
6,1000,60,240,30,500,5617
6,1000,60,250,30,500,5597
6,1000,60,260,30,500,5550
6,1000,60,270,30,500,5503
6,1000,60,280,30,500,5475
6,1000,60,290,30,500,5449
6,1000,60,300,30,500,5416
6,1000,60,310,30,500,5378
6,1000,60,320,30,500,5360
6,1000,60,330,30,500,5336
6,1000,60,340,30,500,5307
6,1000,60,350,30,500,5286
6,1000,60,360,30,500,5252
6,1000,60,370,30,500,5243
6,1000,60,380,30,500,5225
6,1000,60,390,30,500,5182
6,1000,60,400,30,500,5169
6,1000,60,410,30,500,5155
6,1000,60,420,30,500,5133
6,1000,60,430,30,500,5109
6,1000,60,440,30,500,5094
6,1000,60,450,30,500,5084
6,1000,60,460,30,500,5064
6,1000,60,470,30,500,5040
6,1000,60,480,30,500,5018
6,1000,60,490,30,500,4999
6,1000,60,500,30,500,4976
6,1000,60,510,30,500,4952
6,1000,60,520,30,500,4944
6,1000,60,530,30,500,4918
6,1000,60,540,30,500,4901
6,1000,60,550,30,500,4890
6,1000,60,560,30,500,4867
6,1000,60,570,30,500,4842
6,1000,60,580,30,500,4818
6,1000,60,590,30,500,4798
6,1000,60,600,30,500,4788
6,1000,60,610,30,500,4752
6,1000,60,620,30,500,4751
6,1000,60,630,30,500,4740
6,1000,60,640,30,500,4720
6,1000,60,650,30,500,4711
6,1000,60,660,30,500,4697
6,1000,60,670,30,500,4684
6,1000,60,680,30,500,4665
6,1000,60,690,30,500,4648
6,1000,60,700,30,500,4625
6,1000,60,710,30,500,4621
6,1000,60,720,30,500,4591
6,1000,60,730,30,500,4573
6,1000,60,740,30,500,4566
6,1000,60,750,30,500,4555
6,1000,60,760,30,500,4548
6,1000,60,770,30,500,4532
6,1000,60,780,30,500,4531
6,1000,60,790,30,500,4516
6,1000,60,800,30,500,4504
6,1000,60,810,30,500,4486
6,1000,60,820,30,500,4476
6,1000,60,830,30,500,4465
6,1000,60,840,30,500,4440
6,1000,60,850,30,500,4425
6,1000,60,860,30,500,4417
6,1000,60,870,30,500,4403
6,1000,60,880,30,500,4401
6,1000,60,890,30,500,4386
6,1000,60,900,30,500,4365
6,1000,60,910,30,500,4360
6,1000,60,920,30,500,4352
6,1000,60,930,30,500,4333
6,1000,60,940,30,500,4331
6,1000,60,950,30,500,4325
6,1000,60,960,30,500,4303
6,1000,60,970,30,500,4299
6,1000,60,980,30,500,4290
6,1000,60,990,30,500,4276
6,1000,60,1000,30,500,4254
6,1000,70,2,30,500,15507
6,1000,70,10,30,500,11103
6,1000,70,20,30,500,9096
6,1000,70,30,30,500,8441
6,1000,70,40,30,500,8047
6,1000,70,50,30,500,7824
6,1000,70,60,30,500,7631
6,1000,70,70,30,500,7494
6,1000,70,80,30,500,7341
6,1000,70,90,30,500,7236
6,1000,70,100,30,500,7161
6,1000,70,110,30,500,7041
6,1000,70,120,30,500,7001
6,1000,70,130,30,500,6909
6,1000,70,140,30,500,6870
6,1000,70,150,30,500,6819
6,1000,70,160,30,500,6736
6,1000,70,170,30,500,6675
6,1000,70,180,30,500,6622
6,1000,70,190,30,500,6580
6,1000,70,200,30,500,6538
6,1000,70,210,30,500,6501
6,1000,70,220,30,500,6449
6,1000,70,230,30,500,6411
6,1000,70,240,30,500,6373
6,1000,70,250,30,500,6332
6,1000,70,260,30,500,6297
6,1000,70,270,30,500,6277
6,1000,70,280,30,500,6244
6,1000,70,290,30,500,6217
6,1000,70,300,30,500,6179
6,1000,70,310,30,500,6150
6,1000,70,320,30,500,6131
