channel_width,channel_length,optimal_interval,max_value,channel_length_sqrt,optimal_interval_sq,max_bitrate,max_bitrate_sq,max_bitrate_log,max_bitrate_inv
3,100,105.0,0.22950457019818593,10.0,11025.0,0.0038250761699697654,1.463120770607057e-05,-5.566176898184327,261.4327023997288
3,300,142.0,0.09621310018796012,17.320508075688775,20164.0,0.0016035516697993353,2.5713779577162363e-06,-6.4355343162137455,623.6157018408628
3,1000,201.0,0.009590564840570553,31.622776601683793,40401.0,0.00015984274734284255,2.55497038781078e-08,-8.741320055130897,6256.14872506618
4,100,115.0,0.3640495592671332,10.0,13225.0,0.0060674926544522206,3.6814467111831654e-05,-5.104809831002533,164.81272528055183
4,300,130.0,0.24926083934516038,17.320508075688775,16900.0,0.0041543473224193396,1.7258601675292735e-05,-5.483599945463685,240.7116984666647
4,1000,184.0,0.10374279329440526,31.622776601683793,33856.0,0.0017290465549067544,2.989601989034916e-06,-6.360185146728642,578.3534267265169
5,100,109.0,0.4238349210784302,10.0,11881.0,0.00706391535130717,4.989890009043309e-05,-4.952755798862813,141.56455029078896
5,300,131.0,0.3303281500417594,17.320508075688775,17161.0,0.0055054691673626565,3.0310190752780863e-05,-5.202013286760039,181.6375625038766
5,1000,174.0,0.18650224927372533,31.622776601683793,30276.0,0.0031083708212287556,9.661969162266329e-06,-5.773656541744165,321.7119377039753
6,100,116.0,0.432856429984,10.0,13456.0,0.007214273833066666,5.2045746938470406e-05,-4.931693738659143,138.61408966991164
6,300,135.0,0.33742332946854003,17.320508075688775,18225.0,0.0056237221578090005,3.162625090823192e-05,-5.180761528644175,177.8181730780241
6,1000,180.0,0.19730072218601014,31.622776601683793,32400.0,0.0032883453697668354,1.0813215270866985e-05,-5.717370767837663,304.1043100867797
7,100,123.0,0.4222607465462879,10.0,15129.0,0.007037679109104799,4.952892724273011e-05,-4.956476835168106,142.0922983979588
7,300,139.0,0.31771393086266697,17.320508075688775,19321.0,0.00529523218104445,2.803948385116876e-05,-5.24094845177879,188.84913178684386
7,1000,185.0,0.17524896851782157,31.622776601683793,34225.0,0.0029208161419636927,8.531166935155671e-06,-5.835892201082485,342.3700607624314
8,100,126.0,0.39625856748886046,10.0,15876.0,0.006604309458147674,4.361690341897883e-05,-5.020032894823495,151.4162845240859
8,300,147.0,0.27987545636348304,17.320508075688775,21609.0,0.004664590939391384,2.1758408631852193e-05,-5.367755135689121,214.3810707076655
8,1000,179.0,0.13244213226011833,31.622776601683793,32041.0,0.0022073688710019723,4.8724773326685215e-06,-6.115954028835113,453.0280430864636
9,100,126.0,0.38941830991324194,10.0,15876.0,0.006490305165220699,4.212406113769049e-05,-5.037445728536345,154.0759601503261
9,300,165.0,0.2559044857400605,17.320508075688775,27225.0,0.004265074762334342,1.8190862728301346e-05,-5.457295568922648,234.46247855516708
9,1000,201.0,0.07641979778053007,31.622776601683793,40401.0,0.0012736632963421678,1.6222181924491966e-06,-6.665858045347973,785.1368590677763
10,100,133.0,0.3734799964261657,10.0,17689.0,0.0062246666071027615,3.87464743695802e-05,-5.079235395157524,160.65117429083398
10,300,170.0,0.2182086950248863,17.320508075688775,28900.0,0.0036368115837481048,1.3226398495684398e-05,-5.616647919722557,274.9661281515712
10,1000,189.0,0.02627638109204166,31.622776601683793,35721.0,0.000437939684867361,1.9179116758172346e-07,-7.73342936285242,2283.4194628944633
11,100,137.0,0.3540202854149728,10.0,18769.0,0.005900338090249547,3.4813989579249673e-05,-5.132745626280116,169.48181353413025
11,300,175.0,0.17533176298998943,17.320508075688775,30625.0,0.0029221960498331573,8.539229753660508e-06,-5.835419873505605,342.20838812546305
11,1000,200.0,0.00438956341594221,31.622776601683793,40000.0,7.315939026570351e-05,5.352296384049513e-09,-9.522870068734083,13668.78532431935
12,100,149.0,0.33571237934151427,10.0,22201.0,0.005595206322358571,3.130633378976133e-05,-5.1858450616946605,178.7244191521548
12,300,191.0,0.1156481992861819,17.320508075688775,36481.0,0.0019274699881030317,3.715140555037901e-06,-6.251547023022571,518.814822628795
12,1000,194.0,0.000942630241668025,31.622776601683793,37636.0,1.5710504027800417e-05,2.468199368075331e-10,-11.061181022965034,63651.681590256856
