channel_width,channel_length,optimal_interval,max_value,channel_length_sqrt,optimal_interval_sq,max_bitrate,max_bitrate_sq,max_bitrate_log,max_bitrate_inv
6,30,94.0,0.5592199025443688,5.477225575051661,8836.0,0.009320331709072814,8.686858316714815e-05,-4.675557059815752,107.29231868717255
6,100,107.0,0.43590710996379095,10.0,11449.0,0.0072651184993965156,5.2781946810273475e-05,-4.924670671095458,137.64400402871144
6,300,129.0,0.3645174255651274,17.320508075688775,16641.0,0.0060752904260854565,3.690915376128561e-05,-5.103525484135194,164.60118444812167
6,1000,166.0,0.23465284088970137,31.622776601683793,27556.0,0.003910880681495023,1.5294987704890976e-05,-5.543992692113164,255.69688298895565
