fate,interval,count,first_event_position_sum,fronts_forward_sum,fronts_backward_sum
successful transmission,40,25.0,2311.0,0.0,0.0
successful transmission,45,99.0,9689.0,0.0,0.0
successful transmission,50,172.0,16492.0,0.0,0.0
successful transmission,55,353.0,33660.0,-4.0,0.0
successful transmission,60,552.0,52813.0,-2.0,0.0
successful transmission,65,886.0,84835.0,-2.0,0.0
successful transmission,70,1156.0,110964.0,-5.0,0.0
successful transmission,75,1397.0,135094.0,-2.0,0.0
successful transmission,80,1700.0,164712.0,-12.0,0.0
successful transmission,85,1989.0,193509.0,-12.0,0.0
successful transmission,90,2116.0,206107.0,-9.0,0.0
successful transmission,95,2318.0,226231.0,-15.0,0.0
successful transmission,100,2512.0,245302.0,-9.0,0.0
successful transmission,110,2625.0,256591.0,-20.0,0.0
successful transmission,120,2766.0,270483.0,-13.0,0.0
successful transmission,150,2888.0,282717.0,-4.0,0.0
successful transmission,200,2953.0,289144.0,-4.0,0.0
successful transmission,300,2952.0,289033.0,-4.0,0.0
immediate failure,40,2877.0,0.0,0.0,1.0
immediate failure,45,2681.0,0.0,0.0,4.0
immediate failure,50,2425.0,0.0,0.0,3.0
immediate failure,55,1955.0,16.0,0.0,12.0
immediate failure,60,1477.0,0.0,0.0,22.0
immediate failure,65,999.0,18.0,0.0,29.0
immediate failure,70,607.0,0.0,0.0,21.0
immediate failure,75,419.0,71.0,0.0,24.0
immediate failure,80,230.0,49.0,2.0,17.0
immediate failure,85,121.0,0.0,2.0,5.0
immediate failure,90,76.0,84.0,1.0,9.0
immediate failure,95,32.0,0.0,1.0,6.0
immediate failure,100,18.0,54.0,1.0,5.0
immediate failure,110,15.0,88.0,0.0,9.0
immediate failure,120,7.0,0.0,1.0,3.0
immediate failure,150,3.0,0.0,0.0,0.0
immediate failure,200,2.0,0.0,0.0,0.0
immediate failure,300,3.0,0.0,0.0,0.0
propagation failure,40,9.0,123.0,0.0,0.0
propagation failure,45,31.0,608.0,0.0,0.0
propagation failure,50,72.0,1353.0,2.0,0.0
propagation failure,55,171.0,3566.0,5.0,0.0
propagation failure,60,245.0,4807.0,3.0,0.0
propagation failure,65,305.0,6051.0,7.0,0.0
propagation failure,70,328.0,7301.0,5.0,0.0
propagation failure,75,347.0,8894.0,6.0,0.0
propagation failure,80,318.0,8832.0,3.0,0.0
propagation failure,85,272.0,7631.0,4.0,0.0
propagation failure,90,246.0,8204.0,2.0,0.0
propagation failure,95,171.0,6467.0,1.0,0.0
propagation failure,100,125.0,4612.0,0.0,0.0
propagation failure,110,66.0,3124.0,0.0,0.0
propagation failure,120,47.0,2476.0,0.0,0.0
propagation failure,150,10.0,667.0,0.0,0.0
propagation failure,200,5.0,270.0,0.0,0.0
propagation failure,300,5.0,203.0,0.0,0.0
1 backward front spawning,40,79.0,1460.0,0.0,79.0
1 backward front spawning,45,154.0,3264.0,0.0,154.0
1 backward front spawning,50,269.0,5779.0,3.0,269.0
1 backward front spawning,55,410.0,9915.0,0.0,410.0
1 backward front spawning,60,519.0,16824.0,6.0,519.0
1 backward front spawning,65,590.0,19529.0,8.0,590.0
1 backward front spawning,70,608.0,20150.0,8.0,608.0
1 backward front spawning,75,573.0,20610.0,5.0,573.0
1 backward front spawning,80,485.0,18741.0,7.0,485.0
1 backward front spawning,85,393.0,15724.0,9.0,393.0
1 backward front spawning,90,356.0,15773.0,0.0,356.0
1 backward front spawning,95,291.0,12906.0,0.0,291.0
1 backward front spawning,100,195.0,9491.0,0.0,195.0
1 backward front spawning,110,167.0,8609.0,-2.0,167.0
1 backward front spawning,120,104.0,5658.0,1.0,104.0
1 backward front spawning,150,47.0,2166.0,0.0,47.0
1 backward front spawning,200,14.0,744.0,0.0,14.0
1 backward front spawning,300,15.0,833.0,0.0,15.0
other front spawning events,40,8.0,175.0,6.0,12.0
other front spawning events,45,34.0,1187.0,26.0,58.0
other front spawning events,50,59.0,1783.0,55.0,107.0
other front spawning events,55,105.0,2737.0,85.0,206.0
other front spawning events,60,199.0,5927.0,181.0,358.0
other front spawning events,65,212.0,6717.0,168.0,385.0
other front spawning events,70,292.0,8807.0,268.0,465.0
other front spawning events,75,261.0,8368.0,249.0,443.0
other front spawning events,80,260.0,9358.0,240.0,439.0
other front spawning events,85,215.0,7276.0,208.0,338.0
other front spawning events,90,192.0,7630.0,186.0,291.0
other front spawning events,95,169.0,7585.0,174.0,270.0
