channel_width,channel_length,altered_parameter,fold_change,optimal_interval,max_value
6,300,c_rate,0.36787944117144233,122.0,4.098360655737705e-06
6,300,c_rate,0.4065696597405991,138.0,6.449275362318841e-05
6,300,c_rate,0.44932896411722156,147.0,0.00036272108843537413
6,300,c_rate,0.49658530379140947,157.0,0.0010119745222929937
6,300,c_rate,0.5488116360940264,153.0,0.001954771241830065
6,300,c_rate,0.6065306597126334,149.0,0.003063221476510067
6,300,c_rate,0.6703200460356393,150.0,0.0040744
6,300,c_rate,0.7408182206817179,146.0,0.00491972602739726
6,300,c_rate,0.8187307530779818,142.0,0.00561
6,300,c_rate,0.9048374180359595,134.0,0.006108955223880597
6,300,c_rate,1.0,131.0,0.006539541984732824
6,300,c_rate,1.1051709180756477,127.0,0.0068598425196850395
6,300,c_rate,1.2214027581601699,123.0,0.007123089430894309
6,300,c_rate,1.3498588075760032,119.0,0.007323193277310925
6,300,c_rate,1.4918246976412703,119.0,0.007507226890756303
6,300,c_rate,1.6487212707001282,115.0,0.007644347826086957
6,300,c_rate,1.822118800390509,115.0,0.007760521739130435
6,300,c_rate,2.0137527074704766,111.0,0.007872792792792793
6,300,c_rate,2.225540928492468,110.0,0.007956545454545454
6,300,c_rate,2.45960311115695,110.0,0.008039090909090909
6,300,c_rate,2.718281828459045,110.0,0.008109636363636364
6,300,e_forward_rate,0.36787944117144233,157.0,0.008675414012738853
6,300,e_forward_rate,0.4065696597405991,148.0,0.007888783783783784
6,300,e_forward_rate,0.44932896411722156,136.0,0.0069975
6,300,e_forward_rate,0.49658530379140947,141.0,0.0059663829787234045
6,300,e_forward_rate,0.5488116360940264,159.0,0.004732830188679245
6,300,e_forward_rate,0.6065306597126334,150.0,0.0037354666666666665
6,300,e_forward_rate,0.6703200460356393,146.0,0.0036327397260273973
6,300,e_forward_rate,0.7408182206817179,147.0,0.004313469387755102
6,300,e_forward_rate,0.8187307530779818,143.0,0.005217062937062937
6,300,e_forward_rate,0.9048374180359595,139.0,0.005955827338129496
6,300,e_forward_rate,1.0,131.0,0.006539541984732824
6,300,e_forward_rate,1.1051709180756477,127.0,0.0069711811023622046
6,300,e_forward_rate,1.2214027581601699,123.0,0.007290894308943089
6,300,e_forward_rate,1.3498588075760032,119.0,0.007520840336134454
6,300,e_forward_rate,1.4918246976412703,115.0,0.007685043478260869
6,300,e_forward_rate,1.6487212707001282,115.0,0.007786782608695652
6,300,e_forward_rate,1.822118800390509,115.0,0.007842782608695652
6,300,e_forward_rate,2.0137527074704766,115.0,0.00788904347826087
6,300,e_forward_rate,2.225540928492468,115.0,0.00792608695652174
6,300,e_forward_rate,2.45960311115695,115.0,0.007931826086956521
6,300,e_forward_rate,2.718281828459045,111.0,0.00796072072072072
6,300,i_forward_rate,0.36787944117144233,114.0,0.005069298245614035
6,300,i_forward_rate,0.4065696597405991,125.0,0.00543712
6,300,i_forward_rate,0.44932896411722156,125.0,0.00592864
6,300,i_forward_rate,0.49658530379140947,125.0,0.00635584
6,300,i_forward_rate,0.5488116360940264,125.0,0.00665408
6,300,i_forward_rate,0.6065306597126334,122.0,0.006852622950819672
6,300,i_forward_rate,0.6703200460356393,122.0,0.006930819672131147
6,300,i_forward_rate,0.7408182206817179,126.0,0.006984444444444444
6,300,i_forward_rate,0.8187307530779818,126.0,0.0069068253968253964
6,300,i_forward_rate,0.9048374180359595,127.0,0.006765354330708661
6,300,i_forward_rate,1.0,131.0,0.006539541984732824
6,300,i_forward_rate,1.1051709180756477,134.0,0.006202089552238806
6,300,i_forward_rate,1.2214027581601699,142.0,0.005752112676056338
6,300,i_forward_rate,1.3498588075760032,146.0,0.005178493150684932
6,300,i_forward_rate,1.4918246976412703,150.0,0.004388266666666666
6,300,i_forward_rate,1.6487212707001282,154.0,0.0033784415584415584
6,300,i_forward_rate,1.822118800390509,158.0,0.00221
6,300,i_forward_rate,2.0137527074704766,148.0,0.0011414864864864864
6,300,i_forward_rate,2.225540928492468,147.0,0.000399047619047619
6,300,i_forward_rate,2.45960311115695,160.0,6.725e-05
6,300,i_forward_rate,2.718281828459045,175.0,3.542857142857143e-06
6,300,r_forward_rate,0.36787944117144233,305.0,0.0029853770491803278
6,300,r_forward_rate,0.4065696597405991,271.0,0.003274538745387454
6,300,r_forward_rate,0.44932896411722156,248.0,0.0036004032258064515
6,300,r_forward_rate,0.49658530379140947,227.0,0.003975770925110132
6,300,r_forward_rate,0.5488116360940264,208.0,0.004360865384615385
6,300,r_forward_rate,0.6065306597126334,191.0,0.004778429319371728
6,300,r_forward_rate,0.6703200460356393,175.0,0.005204
6,300,r_forward_rate,0.7408182206817179,160.0,0.005656375
6,300,r_forward_rate,0.8187307530779818,147.0,0.006054149659863946
6,300,r_forward_rate,0.9048374180359595,139.0,0.006375827338129496
6,300,r_forward_rate,1.0,131.0,0.006539541984732824
6,300,r_forward_rate,1.1051709180756477,127.0,0.006442677165354331
6,300,r_forward_rate,1.2214027581601699,119.0,0.005956638655462185
6,300,r_forward_rate,1.3498588075760032,108.0,0.0053274074074074074
6,300,r_forward_rate,1.4918246976412703,95.0,0.005338736842105263
6,300,r_forward_rate,1.6487212707001282,84.0,0.007243095238095238
6,300,r_forward_rate,1.822118800390509,74.0,0.01014108108108108
6,300,r_forward_rate,2.0137527074704766,69.0,0.013195942028985507
6,300,r_forward_rate,2.225540928492468,61.0,0.01605639344262295
6,300,r_forward_rate,2.45960311115695,59.0,0.01838271186440678
6,300,r_forward_rate,2.718281828459045,52.0,0.020749615384615384
