channel_width,channel_length,interval,successful transmission,initiation failure,propagation failure,<= 6 front spawning,> 6 front spawning,annihilation by backward front
6,300,196,0.7176666666666667,0.010666666666666666,0.006,0.12833333333333333,0.011333333333333334,0.126
15,300,196,0.4063333333333333,0.028,0.011333333333333334,0.054,0.25533333333333336,0.245
30,300,196,0.16333333333333333,0.045,0.07166666666666667,0.081,0.34,0.299
60,300,196,0.024333333333333332,0.111,0.017,0.07566666666666666,0.5666666666666667,0.20533333333333334
