channel_width,channel_length,optimal_interval,max_value,channel_length_sqrt,optimal_interval_sq,max_bitrate,max_bitrate_sq,max_bitrate_log,max_bitrate_inv
6,30,108.0,0.36414866438168614,5.477225575051661,11664.0,0.006069144406361435,3.68345138252683e-05,-5.104537638316678,164.7678705670341
6,100,124.0,0.005409243175198007,10.0,15376.0,9.01540529199668e-05,8.127753257896173e-09,-9.313990651810622,11092.124731072692
6,300,149.0,0.0023109899550692527,17.320508075688775,22201.0,3.8516499251154214e-05,1.4835207145641631e-09,-10.164423856494675,25962.89952208035
6,1000,235.0,-5.363222843741405e-05,31.622776601683793,55225.0,-8.938704739569008e-07,7.990044242119345e-13,,-1118730.3184691793
