channel_width,channel_length,interval,successful transmission,immediate failure,propagation failure,<= 6 front spawning,> 6 front spawning,annihilation by backward front
6,300,236,0.9896666666666667,0.0,0.005666666666666667,0.0023333333333333335,0.0,0.0023333333333333335
15,300,236,0.9846666666666667,0.0006666666666666666,0.0016666666666666668,0.005666666666666667,0.0006666666666666666,0.006666666666666667
30,300,236,0.9633333333333334,0.0003333333333333333,0.004,0.012666666666666666,0.008333333333333333,0.011333333333333334
60,300,236,0.936,0.0023333333333333335,0.006333333333333333,0.016,0.015666666666666666,0.023666666666666666
