channel_width,channel_length,optimal_interval,max_value,channel_length_sqrt,optimal_interval_sq,max_bitrate,max_bitrate_sq,max_bitrate_log,max_bitrate_inv
6,30,98.0,0.5442443890865846,5.477225575051661,9604.0,0.009070739818109743,8.227832084784157e-05,-4.7027014505840015,110.24459085503686
6,100,104.0,0.4518670260598643,10.0,10816.0,0.007531117100997738,5.671772478894058e-05,-4.888711894787456,132.782426111462
6,300,125.0,0.3450264948524828,17.320508075688775,15625.0,0.005750441580874714,3.306757837505288e-05,-5.158478630447728,173.89968856059355
6,1000,188.0,0.2085075156661015,31.622776601683793,35344.0,0.003475125261101692,1.2076495580347102e-05,-5.662124754254837,287.7594114932645
