channel_width,channel_length,optimal_interval,max_value,channel_length_sqrt,optimal_interval_sq,max_bitrate,max_bitrate_sq,max_bitrate_log,max_bitrate_inv
6,30,133.0,0.38965405521851765,5.477225575051661,17689.0,0.0064942342536419605,4.2175078541176555e-05,-5.036840533632708,153.98274237477665
6,100,147.0,0.3550275472427179,10.0,21609.0,0.0059171257873786316,3.501237758366119e-05,-5.12990445687257,169.00097039225082
6,300,164.0,0.3101593523219281,17.320508075688775,26896.0,0.005169322538698801,2.672189550909942e-05,-5.265013636050063,193.4489466489579
6,1000,210.0,0.244087947653609,31.622776601683793,44100.0,0.0040681324608934834,1.654970171937527e-05,-5.504571239651046,245.8130381969839
